节点位移  单位：m
  节点号         x方向位移               y方向位移
   145         4.17837774e-06         -7.67957210e-06
   146         4.16493144e-06         -7.49183948e-06
   147         4.16233714e-06         -7.26770797e-06
   148         4.16593373e-06         -7.00220637e-06
   149         4.17043612e-06         -6.68796840e-06
   150         4.16954289e-06         -6.31446868e-06
   151         4.15551310e-06         -5.86689146e-06
   152         4.11876496e-06         -5.32461996e-06
   153         7.01501023e-06         -7.11845636e-06
   154         6.62040010e-06         -7.79021262e-06
   155         6.23059350e-06         -8.30000172e-06
   156         5.87489386e-06         -8.65580715e-06
   157         5.56923133e-06         -8.88343037e-06
   158         5.31738561e-06         -9.01181348e-06
   159         5.11593396e-06         -9.06507641e-06
   160         4.95862970e-06         -9.06049525e-06
   161         4.83883472e-06         -9.00932030e-06
   162         4.75043482e-06         -8.91825628e-06
   163         4.68798708e-06         -8.79071502e-06
   164         4.64657840e-06         -8.62765515e-06
   165         4.62160103e-06         -8.42805139e-06
   166         4.60851135e-06         -8.18906045e-06
   167         4.60258262e-06         -7.90592224e-06
   168         4.59864580e-06         -7.57160320e-06
   169         4.59081359e-06         -7.17616564e-06
   170         4.57219618e-06         -6.70584030e-06
   171         4.53463683e-06         -6.14179675e-06
   172         7.46301170e-06         -8.19107862e-06
   173         7.09890705e-06         -8.77170171e-06
   174         6.73421622e-06         -9.22896448e-06
   175         6.39280076e-06         -9.56231337e-06
   176         6.09004831e-06         -9.78555313e-06
   177         5.83244079e-06         -9.91773692e-06
   178         5.62001030e-06         -9.97684947e-06
   179         5.44927082e-06         -9.97705383e-06
   180         5.31533236e-06         -9.92827385e-06
   181         5.21302829e-06         -9.83676464e-06
   182         5.13735994e-06         -9.70586828e-06
   183         5.08358081e-06         -9.53662675e-06
   184         5.04712122e-06         -9.32816749e-06
   185         5.02344986e-06         -9.07786036e-06
   186         5.00791139e-06         -8.78125598e-06
   187         4.99555332e-06         -8.43180537e-06
   188         4.98094791e-06         -8.02034935e-06
   189         4.95801729e-06         -7.53436277e-06
   190         4.91987686e-06         -6.95694937e-06
   191         7.84953079e-06         -9.24333451e-06
   192         7.51382233e-06         -9.73848290e-06
   193         7.17422440e-06         -1.01406461e-05
   194         6.85017454e-06         -1.04444437e-05
   195         6.55566497e-06         -1.06556658e-05
   196         6.29829829e-06         -1.07857181e-05
   197         6.08034155e-06         -1.08470095e-05
   198         5.90052643e-06         -1.08502943e-05
   199         5.75565866e-06         -1.08036690e-05
   200         5.64169100e-06         -1.07125173e-05
   201         5.55429855e-06         -1.05798302e-05
   202         5.48911991e-06         -1.04065725e-05
   203         5.44181134e-06         -1.01919546e-05
   204         5.40800853e-06         -9.93355631e-06
   205         5.38324774e-06         -9.62728671e-06
   206         5.36287221e-06         -9.26716773e-06
   207         5.34193762e-06         -8.84492794e-06
   208         5.31512591e-06         -8.34939243e-06
   209         5.27667647e-06         -7.76566220e-06
   210         8.17867421e-06         -1.02699698e-05
   211         7.86945151e-06         -1.06853917e-05
   212         7.55436883e-06         -1.10320793e-05
   213         7.24932720e-06         -1.13019278e-05
   214         6.96665827e-06         -1.14954110e-05
   215         6.71414189e-06         -1.16182184e-05
   216         6.49533113e-06         -1.16780380e-05
   217         6.31057504e-06         -1.16823215e-05
   218         6.15814084e-06         -1.16371130e-05
   219         6.03510521e-06         -1.15466367e-05
   220         5.93793441e-06         -1.14132946e-05
   221         5.86280442e-06         -1.12378132e-05
   222         5.80574670e-06         -1.10193938e-05
   223         5.76269337e-06         -1.07557888e-05
   224         5.72947236e-06         -1.04432689e-05
   225         5.70178363e-06         -1.00764569e-05
   226         5.67517519e-06         -9.64801019e-06
   227         5.64502995e-06         -9.14813539e-06
   228         5.60656952e-06         -8.56392252e-06
   229         8.45407777e-06         -1.12666586e-05
   230         8.16961337e-06         -1.16080592e-05
   231         7.87819099e-06         -1.19003192e-05
   232         7.59289250e-06         -1.21338248e-05
   233         7.32440229e-06         -1.23055398e-05
   234         7.08015654e-06         -1.24169737e-05
   235         6.86432232e-06         -1.24719963e-05
   236         6.67832920e-06         -1.24750923e-05
   237         6.52160039e-06         -1.24302471e-05
   238         6.39223021e-06         -1.23403793e-05
   239         6.28749588e-06         -1.22071333e-05
   240         6.20419254e-06         -1.20308587e-05
   241         6.13882883e-06         -1.18106497e-05
   242         6.08773063e-06         -1.15443716e-05
   243         6.04709436e-06         -1.12286242e-05
   244         6.01302036e-06         -1.08586150e-05
   245         5.98154653e-06         -1.04279160e-05
   246         5.94869448e-06         -9.92808448e-06
   247         5.91053386e-06         -9.34813147e-06
   248         8.67905767e-06         -1.22297520e-05
   249         8.41778391e-06         -1.25027371e-05
   250         8.14903733e-06         -1.27425580e-05
   251         7.88364330e-06         -1.29388080e-05
   252         7.63077093e-06         -1.30861481e-05
   253         7.39725372e-06         -1.31830800e-05
   254         7.18742809e-06         -1.32304838e-05
   255         7.00337502e-06         -1.32303125e-05
   256         6.84536829e-06         -1.31846347e-05
   257         6.71235680e-06         -1.30950391e-05
   258         6.60237790e-06         -1.29623221e-05
   259         6.51286562e-06         -1.27863536e-05
   260         6.44085990e-06         -1.25660326e-05
   261         6.38314278e-06         -1.22992664e-05
   262         6.33633122e-06         -1.19829275e-05
   263         6.29695254e-06         -1.16127563e-05
   264         6.26152230e-06         -1.11831803e-05
   265         6.22663718e-06         -1.06870273e-05
   266         6.18908828e-06         -1.01151104e-05
   267         8.85671263e-06         -1.31561125e-05
   268         8.61719911e-06         -1.33661669e-05
   269         8.37009385e-06         -1.35561676e-05
   270         8.12440243e-06         -1.37153442e-05
   271         7.88794993e-06         -1.38368661e-05
   272         7.66686272e-06         -1.39171018e-05
   273         7.46537003e-06         -1.39546484e-05
   274         7.28588551e-06         -1.39493812e-05
   275         7.12926534e-06         -1.39016772e-05
   276         6.99513348e-06         -1.38118629e-05
   277         6.88219468e-06         -1.36798660e-05
   278         6.78849429e-06         -1.35050185e-05
   279         6.71161572e-06         -1.32859541e-05
   280         6.64882636e-06         -1.30205520e-05
   281         6.59719110e-06         -1.27058873e-05
   282         6.55367446e-06         -1.23381565e-05
   283         6.51524890e-06         -1.19125503e-05
   284         6.47902189e-06         -1.14230470e-05
   285         6.44238738e-06         -1.08621014e-05
   286         8.98999562e-06         -1.40430019e-05
   287         8.77092955e-06         -1.41954823e-05
   288         8.54442419e-06         -1.43387076e-05
   289         8.31800356e-06         -1.44618049e-05
   290         8.09832189e-06         -1.45570012e-05
   291         7.89078082e-06         -1.46191772e-05
   292         7.69934222e-06         -1.46452260e-05
   293         7.52652892e-06         -1.46333712e-05
   294         7.37356213e-06         -1.45825592e-05
   295         7.24057045e-06         -1.44919812e-05
   296         7.12681484e-06         -1.43607327e-05
   297         7.03089366e-06         -1.41875910e-05
   298         6.95091357e-06         -1.39708796e-05
   299         6.88462793e-06         -1.37083884e-05
   300         6.82955493e-06         -1.33973200e-05
   301         6.78309150e-06         -1.30342358e-05
   302         6.74263884e-06         -1.26149742e-05
   303         6.70575136e-06         -1.21345149e-05
   304         6.67031515e-06         -1.15867610e-05
   305         9.08176644e-06         -1.48880007e-05
   306         8.88193628e-06         -1.49881359e-05
   307         8.67500540e-06         -1.50879191e-05
   308         8.46727873e-06         -1.51765347e-05
   309         8.26439847e-06         -1.52456426e-05
   310         8.07106974e-06         -1.52891113e-05
   311         7.89090394e-06         -1.53025921e-05
   312         7.72638428e-06         -1.52830341e-05
   313         7.57893082e-06         -1.52282178e-05
   314         7.44902849e-06         -1.51363582e-05
   315         7.33638151e-06         -1.50057955e-05
   316         7.24006685e-06         -1.48347716e-05
   317         7.15867210e-06         -1.46212808e-05
   318         7.09041547e-06         -1.43629766e-05
   319         7.03325576e-06         -1.40571182e-05
   320         6.98500526e-06         -1.37005345e-05
   321         6.94345995e-06         -1.32895824e-05
   322         6.90655862e-06         -1.28200741e-05
   323         6.87257745e-06         -1.22871436e-05
   324         9.13483214e-06         -1.56889507e-05
   325         8.95311413e-06         -1.57418452e-05
   326         8.76476019e-06         -1.58017122e-05
   327         8.57506020e-06         -1.58578914e-05
   328         8.38878301e-06         -1.59017360e-05
   329         8.20998716e-06         -1.59264524e-05
   330         8.04189944e-06         -1.59268153e-05
   331         7.88687009e-06         -1.58988205e-05
   332         7.74639693e-06         -1.58393316e-05
   333         7.62119950e-06         -1.57457588e-05
   334         7.51132089e-06         -1.56157890e-05
   335         7.41623721e-06         -1.54471761e-05
   336         7.33496213e-06         -1.52375900e-05
   337         7.26614295e-06         -1.49845185e-05
   338         7.20815343e-06         -1.46852158e-05
   339         7.15919521e-06         -1.43366826e-05
   340         7.11742164e-06         -1.39356603e-05
   341         7.08109616e-06         -1.34786142e-05
   342         7.04879236e-06         -1.29616763e-05
   343         9.15197966e-06         -1.64439122e-05
   344         8.98732703e-06         -1.64545510e-05
   345         8.81658607e-06         -1.64781518e-05
   346         8.64419017e-06         -1.65042703e-05
   347         8.47415268e-06         -1.65241363e-05
   348         8.30994343e-06         -1.65305543e-05
   349         8.15440062e-06         -1.65177077e-05
   350         8.00968771e-06         -1.64809073e-05
   351         7.87729586e-06         -1.64163240e-05
   352         7.75808392e-06         -1.63207313e-05
   353         7.65234294e-06         -1.61912778e-05
   354         7.55987103e-06         -1.60252966e-05
   355         7.48004823e-06         -1.58201590e-05
   356         7.41190695e-06         -1.55731763e-05
   357         7.35420251e-06         -1.52815495e-05
   358         7.30549488e-06         -1.49423642e-05
   359         7.26425670e-06         -1.45526144e-05
   360         7.22902095e-06         -1.41092363e-05
   361         7.19857673e-06         -1.36091210e-05
   362         9.13600377e-06         -1.71511334e-05
   363         8.98743818e-06         -1.71243873e-05
   364         8.83338202e-06         -1.71154456e-05
   365         8.67753512e-06         -1.71141189e-05
   366         8.52325348e-06         -1.71116455e-05
   367         8.37347676e-06         -1.71006238e-05
   368         8.23066840e-06         -1.70748695e-05
   369         8.09677874e-06         -1.70292290e-05
   370         7.97323662e-06         -1.69593746e-05
   371         7.86096837e-06         -1.68616014e-05
   372         7.76043711e-06         -1.67326370e-05
   373         7.67169252e-06         -1.65694727e-05
   374         7.59442147e-06         -1.63692247e-05
   375         7.52799465e-06         -1.61290348e-05
   376         7.47151232e-06         -1.58460205e-05
   377         7.42386081e-06         -1.55172776e-05
   378         7.38379644e-06         -1.51399306e-05
   379         7.35007350e-06         -1.47112096e-05
   380         7.32162684e-06         -1.42285263e-05
   381         9.08973232e-06         -1.78090291e-05
   382         8.95633718e-06         -1.77496594e-05
   383         8.81807393e-06         -1.77119340e-05
   384         8.67800297e-06         -1.76859450e-05
   385         8.53890376e-06         -1.76630388e-05
   386         8.40324134e-06         -1.76357581e-05
   387         8.27312843e-06         -1.75977272e-05
   388         8.15029476e-06         -1.75435071e-05
   389         8.03607311e-06         -1.74684373e-05
   390         7.93140527e-06         -1.73684757e-05
   391         7.83686531e-06         -1.72400423e-05
   392         7.75269238e-06         -1.70798717e-05
   393         7.67882400e-06         -1.68848811e-05
   394         7.61492282e-06         -1.66520683e-05
   395         7.56039807e-06         -1.63784554e-05
   396         7.51443292e-06         -1.60610931e-05
   397         7.47603750e-06         -1.56971282e-05
   398         7.44414867e-06         -1.52839186e-05
   399         7.41779096e-06         -1.48191677e-05
   400         9.01604987e-06         -1.84161675e-05
   401         8.89696563e-06         -1.83288304e-05
   402         8.77363928e-06         -1.82660832e-05
   403         8.64856243e-06         -1.82183228e-05
   404         8.52400385e-06         -1.81770841e-05
   405         8.40200521e-06         -1.81349735e-05
   406         8.28435816e-06         -1.80855648e-05
   407         8.17257740e-06         -1.80232789e-05
   408         8.06788255e-06         -1.79432601e-05
   409         7.97119542e-06         -1.78412516e-05
   410         7.88315315e-06         -1.77134699e-05
   411         7.80413111e-06         -1.75564782e-05
   412         7.73426577e-06         -1.73670602e-05
   413         7.67346778e-06         -1.71421119e-05
   414         7.62142207e-06         -1.68785702e-05
   415         7.57758460e-06         -1.65734079e-05
   416         7.54119831e-06         -1.62237067e-05
   417         7.51135601e-06         -1.58268032e-05
   418         7.48713138e-06         -1.53804769e-05
   419         8.91792065e-06         -1.89712664e-05
   420         8.81234175e-06         -1.88605151e-05
   421         8.70313156e-06         -1.87764822e-05
   422         8.59226385e-06         -1.87098974e-05
   423         8.48155004e-06         -1.86525554e-05
   424         8.37265520e-06         -1.85972266e-05
   425         8.26708274e-06         -1.85375490e-05
   426         8.16614712e-06         -1.84679213e-05
   427         8.07095057e-06         -1.83834049e-05
   428         7.98237334e-06         -1.82796306e-05
   429         7.90107996e-06         -1.81527026e-05
   430         7.82753718e-06         -1.79990923e-05
   431         7.76203337e-06         -1.78155212e-05
   432         7.70468553e-06         -1.75988408e-05
   433         7.65542435e-06         -1.73459378e-05
   434         7.61396155e-06         -1.70537021e-05
   435         7.57976351e-06         -1.67190901e-05
   436         7.55206760e-06         -1.63392906e-05
   437         7.52997361e-06         -1.59119619e-05
   438         8.79841057e-06         -1.94731980e-05
   439         8.70558431e-06         -1.93434809e-05
   440         8.60970439e-06         -1.92418441e-05
   441         8.51226103e-06         -1.91593892e-05
   442         8.41465160e-06         -1.90882433e-05
   443         8.31820746e-06         -1.90214305e-05
   444         8.22417837e-06         -1.89527489e-05
   445         8.13369977e-06         -1.88766709e-05
   446         8.04776249e-06         -1.87882655e-05
   447         7.96719575e-06         -1.86831332e-05
   448         7.89266748e-06         -1.85573398e-05
   449         7.82469974e-06         -1.84073355e-05
   450         7.76368998e-06         -1.82298491e-05
   451         7.70992099e-06         -1.80217584e-05
   452         7.66354103e-06         -1.77799608e-05
   453         7.62450743e-06         -1.75012945e-05
   454         7.59251431e-06         -1.71825663e-05
   455         7.56695091e-06         -1.68207196e-05
   456         7.54694033e-06         -1.64131159e-05
   457         8.66070724e-06         -1.99210063e-05
   458         8.57993475e-06         -1.97766593e-05
   459         8.49663423e-06         -1.96610123e-05
   460         8.41183283e-06         -1.95656002e-05
   461         8.32654968e-06         -1.94829634e-05
   462         8.24182249e-06         -1.94064658e-05
   463         8.15868242e-06         -1.93301495e-05
   464         8.07811120e-06         -1.92486389e-05
   465         8.00100198e-06         -1.91570818e-05
   466         7.92813443e-06         -1.90511111e-05
   467         7.86016822e-06         -1.89268099e-05
   468         7.79765525e-06         -1.87806613e-05
   469         7.74106456e-06         -1.86094628e-05
   470         7.69080362e-06         -1.84101951e-05
   471         7.64720789e-06         -1.81798548e-05
   472         7.61047384e-06         -1.79153036e-05
   473         7.58054206e-06         -1.76132243e-05
   474         7.55698363e-06         -1.72702567e-05
   475         7.53896662e-06         -1.68833162e-05
   476         8.50813532e-06         -2.03139384e-05
   477         8.43877481e-06         -2.01591659e-05
   478         8.36733910e-06         -2.00329725e-05
   479         8.29440209e-06         -1.99274209e-05
   480         8.22063631e-06         -1.98355632e-05
   481         8.14682366e-06         -1.97511900e-05
   482         8.07381070e-06         -1.96686623e-05
   483         8.00245161e-06         -1.95828208e-05
   484         7.93356010e-06         -1.94889474e-05
   485         7.86787720e-06         -1.93827539e-05
   486         7.80605651e-06         -1.92603779e-05
   487         7.74866905e-06         -1.91183677e-05
   488         7.69622811e-06         -1.89536315e-05
   489         7.64922483e-06         -1.87633229e-05
   490         7.60814373e-06         -1.85446464e-05
   491         7.57340990e-06         -1.82946173e-05
   492         7.54524048e-06         -1.80098899e-05
   493         7.52344568e-06         -1.76868036e-05
   494         7.50729174e-06         -1.73217098e-05
   495         8.34416122e-06         -2.06514970e-05
   496         8.28563415e-06         -2.04903346e-05
   497         8.22538786e-06         -2.03568711e-05
   498         8.16354740e-06         -2.02438414e-05
   499         8.10047008e-06         -2.01449308e-05
   500         8.03671813e-06         -2.00544464e-05
   501         7.97298301e-06         -1.99671338e-05
   502         7.91001327e-06         -1.98781023e-05
   503         7.84856104e-06         -1.97828115e-05
   504         7.78934567e-06         -1.96770864e-05
   505         7.73303097e-06         -1.95571412e-05
   506         7.68021750e-06         -1.94196002e-05
   507         7.63145649e-06         -1.92614923e-05
   508         7.58729041e-06         -1.90801841e-05
   509         7.54830394e-06         -1.88731963e-05
   510         7.51512190e-06         -1.86378823e-05
   511         7.48826823e-06         -1.83710672e-05
   512         7.46787990e-06         -1.80688926e-05
   513         7.45341842e-06         -1.77270814e-05
   514         8.17237613e-06         -2.09335196e-05
   515         8.12417658e-06         -2.07697645e-05
   516         8.07448947e-06         -2.06320388e-05
   517         8.02299883e-06         -2.05139644e-05
   518         7.96978361e-06         -2.04100072e-05
   519         7.91521852e-06         -2.03150773e-05
   520         7.85985867e-06         -2.02243577e-05
   521         7.80435704e-06         -2.01332664e-05
   522         7.74941410e-06         -2.00374762e-05
   523         7.69574396e-06         -1.99329540e-05
   524         7.64404735e-06         -1.98160071e-05
   525         7.59498919e-06         -1.96833307e-05
   526         7.54918909e-06         -1.95320505e-05
   527         7.50724228e-06         -1.93597275e-05
   528         7.46978675e-06         -1.91642557e-05
   529         7.43758328e-06         -1.89435357e-05
   530         7.41146410e-06         -1.86948991e-05
   531         7.39200423e-06         -1.84145737e-05
   532         7.37902243e-06         -1.80976952e-05
   533         7.99643413e-06         -2.11602949e-05
   534         7.95814293e-06         -2.09973816e-05
   535         7.91844137e-06         -2.08580190e-05
   536         7.87660359e-06         -2.07370256e-05
   537         7.83247537e-06         -2.06298098e-05
   538         7.78626436e-06         -2.05319509e-05
   539         7.73838515e-06         -2.04391000e-05
   540         7.68938408e-06         -2.03470101e-05
   541         7.63990340e-06         -2.02515974e-05
   542         7.59065836e-06         -2.01490020e-05
   543         7.54241264e-06         -2.00356455e-05
   544         7.49594686e-06         -1.99082928e-05
   545         7.45202311e-06         -1.97641238e-05
   546         7.41136192e-06         -1.96008105e-05
   547         7.37466877e-06         -1.94165515e-05
   548         7.34275385e-06         -1.92099123e-05
   549         7.31667478e-06         -1.89791877e-05
   550         7.29753980e-06         -1.87212980e-05
   551         7.28577505e-06         -1.84310933e-05
   552         7.81990271e-06         -2.13327284e-05
   553         7.79120162e-06         -2.11735046e-05
   554         7.76100101e-06         -2.10345964e-05
   555         7.72823909e-06         -2.09124292e-05
   556         7.69258148e-06         -2.08034825e-05
   557         7.65404659e-06         -2.07040159e-05
   558         7.61286608e-06         -2.06101488e-05
   559         7.56944019e-06         -2.05179823e-05
   560         7.52432538e-06         -2.04237037e-05
   561         7.47822573e-06         -2.03236630e-05
   562         7.43197688e-06         -2.02144338e-05
   563         7.38651727e-06         -2.00928718e-05
   564         7.34284339e-06         -1.99561900e-05
   565         7.30195030e-06         -1.98020692e-05
   566         7.26477750e-06         -1.96288094e-05
   567         7.23223004e-06         -1.94354551e-05
   568         7.20540278e-06         -1.92215722e-05
   569         7.18586212e-06         -1.89858474e-05
   570         7.17499517e-06         -1.87238265e-05
   571         7.64589594e-06         -2.14525662e-05
   572         7.62662093e-06         -2.12988879e-05
   573         7.60560092e-06         -2.11618293e-05
   574         7.58166573e-06         -2.10398358e-05
   575         7.55424129e-06         -2.09304002e-05
   576         7.52305354e-06         -2.08304036e-05
   577         7.48806282e-06         -2.07364055e-05
   578         7.44946120e-06         -2.06448594e-05
   579         7.40767742e-06         -2.05522507e-05
   580         7.36337454e-06         -2.04551820e-05
   581         7.31744016e-06         -2.03504303e-05
   582         7.27096938e-06         -2.02349946e-05
   583         7.22523693e-06         -2.01061549e-05
   584         7.18164947e-06         -1.99615671e-05
   585         7.14166526e-06         -1.97994381e-05
   586         7.10668479e-06         -1.96188273e-05
   587         7.07801431e-06         -1.94200514e-05
   588         7.05726293e-06         -1.92045097e-05
   589         7.04686712e-06         -1.89710727e-05
   590         7.47632297e-06         -2.15225997e-05
   591         7.46640424e-06         -2.13746386e-05
   592         7.45491733e-06         -2.12402268e-05
   593         7.44038014e-06         -2.11193759e-05
   594         7.42172264e-06         -2.10103706e-05
   595         7.39818901e-06         -2.09105988e-05
   596         7.36936118e-06         -2.08170254e-05
   597         7.33517163e-06         -2.07264635e-05
   598         7.29589236e-06         -2.06357243e-05
   599         7.25211622e-06         -2.05417030e-05
   600         7.20474075e-06         -2.04414317e-05
   601         7.15495899e-06         -2.03321187e-05
   602         7.10425900e-06         -2.02111898e-05
   603         7.05442925e-06         -2.00763510e-05
   604         7.00755931e-06         -1.99257117e-05
   605         6.96600668e-06         -1.97580504e-05
